Last_Update,OBJECTID,Province_State,Country_Region,Lat,Long_,Confirmed,Recovered,Deaths
2020/05/09 22:32:32+00,1,Alberta,Canada,53.9333,-116.5765,6157,0,116
2020/05/09 22:32:32+00,2,Anguilla,United Kingdom,18.2206,-63.0686,3,3,0
2020/05/09 22:32:32+00,3,Anhui,China,31.8257,117.2264,991,985,6
2020/05/09 22:32:32+00,4,Aruba,Netherlands,12.5211,-69.9683,101,89,3
2020/05/09 22:32:32+00,5,Australian Capital Territory,Australia,-35.4735,149.0124,107,103,3
2020/05/09 22:32:32+00,6,Beijing,China,40.1824,116.4142,593,563,9
2020/05/09 22:32:32+00,7,Bermuda,United Kingdom,32.3078,-64.7505,118,64,7
2020/05/09 22:32:32+00,8,"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,6,0,0
2020/05/09 22:32:32+00,9,British Columbia,Canada,53.7267,-127.6476,2330,0,129
2020/05/09 22:32:32+00,10,British Virgin Islands,United Kingdom,18.4207,-64.64,7,4,1
2020/05/09 22:32:32+00,11,Cayman Islands,United Kingdom,19.3133,-81.2546,81,41,1
2020/05/09 22:32:32+00,12,Channel Islands,United Kingdom,49.3723,-2.3644,545,447,41
2020/05/09 22:32:32+00,13,Chongqing,China,30.0572,107.874,579,573,6
2020/05/09 22:32:32+00,14,Curacao,Netherlands,12.1696,-68.99,16,14,1
2020/05/09 22:32:32+00,15,Diamond Princess,Canada,,,1,0,1
2020/05/09 22:32:32+00,16,Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,13,13,0
2020/05/09 22:32:32+00,17,Faroe Islands,Denmark,61.8926,-6.9118,187,187,0
2020/05/09 22:32:32+00,18,French Guiana,France,4,-53,141,119,1
2020/05/09 22:32:32+00,19,French Polynesia,France,-17.6797,-149.4068,60,56,0
2020/05/09 22:32:32+00,20,Fujian,China,26.0789,117.9874,356,354,1
2020/05/09 22:32:32+00,21,Gansu,China,37.8099,101.0583,139,137,2
2020/05/09 22:32:32+00,22,Gibraltar,United Kingdom,36.1408,-5.3536,146,142,0
2020/05/09 22:32:32+00,23,Grand Princess,Canada,,,13,0,0
2020/05/09 22:32:32+00,24,Greenland,Denmark,71.7069,-42.6043,11,11,0
2020/05/09 22:32:32+00,25,Guadeloupe,France,16.265,-61.551,154,104,13
2020/05/09 22:32:32+00,26,Guangdong,China,23.3417,113.4244,1589,1576,8
2020/05/09 22:32:32+00,27,Guangxi,China,23.8298,108.7881,254,252,2
2020/05/09 22:32:32+00,28,Guizhou,China,26.8154,106.8748,147,145,2
2020/05/09 22:32:32+00,29,Hainan,China,19.1959,109.7453,168,162,6
2020/05/09 22:32:32+00,30,Hebei,China,39.549,116.1306,328,320,6
2020/05/09 22:32:32+00,31,Heilongjiang,China,47.862,127.7615,944,835,13
2020/05/09 22:32:32+00,32,Henan,China,33.882,113.614,1276,1254,22
2020/05/09 22:32:32+00,33,Hong Kong,China,22.3,114.2,1044,967,4
2020/05/09 22:32:32+00,34,Hubei,China,30.9756,112.2707,68128,63616,4512
2020/05/09 22:32:32+00,35,Hunan,China,27.6104,111.7088,1019,1015,4
2020/05/09 22:32:32+00,36,Inner Mongolia,China,44.0935,113.9448,201,175,1
2020/05/09 22:32:32+00,37,Isle of Man,United Kingdom,54.2361,-4.5481,329,271,23
2020/05/09 22:32:32+00,38,Jiangsu,China,32.9711,119.455,653,652,0
2020/05/09 22:32:32+00,39,Jiangxi,China,27.614,115.7221,937,936,1
2020/05/09 22:32:32+00,40,Jilin,China,43.6661,126.1923,113,105,1
2020/05/09 22:32:32+00,41,Liaoning,China,41.2956,122.6085,146,144,2
2020/05/09 22:32:32+00,42,Macau,China,22.1667,113.55,45,40,0
2020/05/09 22:32:32+00,43,Manitoba,Canada,53.7609,-98.8139,284,0,7
2020/05/09 22:32:32+00,44,Martinique,France,14.6415,-61.0242,186,83,14
2020/05/09 22:32:32+00,45,Mayotte,France,-12.8275,45.166244,988,492,11
2020/05/09 22:32:32+00,46,Montserrat,United Kingdom,16.742498,-62.187366,11,8,1
2020/05/09 22:32:32+00,47,New Brunswick,Canada,46.5653,-66.4619,120,0,0
2020/05/09 22:32:32+00,48,New Caledonia,France,-20.904305,165.618042,18,18,0
2020/05/09 22:32:32+00,49,New South Wales,Australia,-33.8688,151.2093,3051,2504,44
2020/05/09 22:32:32+00,50,Newfoundland and Labrador,Canada,53.1355,-57.6604,261,0,3
2020/05/09 22:32:32+00,51,Ningxia,China,37.2692,106.1655,75,75,0
2020/05/09 22:32:32+00,52,Northern Territory,Australia,-12.4634,130.8456,29,27,0
2020/05/09 22:32:32+00,53,Northwest Territories,Canada,64.8255,-124.8457,5,0,0
2020/05/09 22:32:32+00,54,Nova Scotia,Canada,44.682,-63.7443,1011,0,47
2020/05/09 22:32:32+00,55,Ontario,Canada,51.2538,-85.3232,21148,0,1726
2020/05/09 22:32:32+00,56,Prince Edward Island,Canada,46.5107,-63.4168,27,0,0
2020/05/09 22:32:32+00,57,Qinghai,China,35.7452,95.9956,18,18,0
2020/05/09 22:32:32+00,58,Quebec,Canada,52.9399,-73.5491,36997,0,2787
2020/05/09 22:32:32+00,59,Queensland,Australia,-27.4698,153.0251,1045,1019,6
2020/05/09 22:32:32+00,60,Recovered,Canada,,,0,31262,0
2020/05/09 22:32:32+00,61,Reunion,France,-21.1151,55.5364,431,354,0
2020/05/09 22:32:32+00,62,Saint Barthelemy,France,17.9,-62.8333,6,6,0
2020/05/09 22:32:32+00,63,Saint Pierre and Miquelon,France,46.8852,-56.3159,1,0,0
2020/05/09 22:32:32+00,64,Saskatchewan,Canada,52.9399,-106.4509,553,0,7
2020/05/09 22:32:32+00,65,Shaanxi,China,35.1917,108.8701,308,292,3
2020/05/09 22:32:32+00,66,Shandong,China,36.3427,118.1498,788,776,7
2020/05/09 22:32:32+00,67,Shanghai,China,31.202,121.4491,657,626,7
2020/05/09 22:32:32+00,68,Shanxi,China,37.5777,112.2922,198,196,0
2020/05/09 22:32:32+00,69,Sichuan,China,30.6171,102.7103,561,558,3
2020/05/09 22:32:32+00,70,Sint Maarten,Netherlands,18.0425,-63.0548,76,44,14
2020/05/09 22:32:32+00,71,South Australia,Australia,-34.9285,138.6007,439,433,4
2020/05/09 22:32:32+00,72,St Martin,France,18.0708,-63.0501,39,30,3
2020/05/09 22:32:32+00,73,Tasmania,Australia,-42.8821,147.3272,227,176,13
2020/05/09 22:32:32+00,74,Tianjin,China,39.3054,117.323,191,186,3
2020/05/09 22:32:32+00,75,Tibet,China,31.6927,88.0924,1,1,0
2020/05/09 22:32:32+00,76,Turks and Caicos Islands,United Kingdom,21.694,-71.7979,12,8,1
2020/05/09 22:32:32+00,77,Victoria,Australia,-37.8136,144.9631,1479,1336,18
2020/05/09 22:32:32+00,78,Western Australia,Australia,-31.9505,115.8605,552,536,9
2020/05/09 22:32:32+00,79,Xinjiang,China,41.1129,85.2401,76,73,3
2020/05/09 22:32:32+00,80,Yukon,Canada,64.2823,-135,11,0,0
2020/05/09 22:32:32+00,81,Yunnan,China,24.974,101.487,185,182,2
2020/05/09 22:32:32+00,82,Zhejiang,China,29.1832,120.0934,1268,1267,1
2020/05/09 22:32:32+00,83,,Afghanistan,33.93911,67.709953,4033,502,115
2020/05/09 22:32:32+00,84,,Albania,41.1533,20.1683,856,627,31
2020/05/09 22:32:32+00,85,,Algeria,28.0339,1.6596,5558,2546,494
2020/05/09 22:32:32+00,86,,Andorra,42.5063,1.5218,754,545,48
2020/05/09 22:32:32+00,87,,Angola,-11.2027,17.8739,43,13,2
2020/05/09 22:32:32+00,88,,Antigua and Barbuda,17.0608,-61.7964,25,19,3
2020/05/09 22:32:32+00,89,,Argentina,-38.4161,-63.6167,5611,1728,293
2020/05/09 22:32:32+00,90,,Armenia,40.0691,45.0382,3175,1267,44
2020/05/09 22:32:32+00,91,,Austria,47.5162,14.5501,15833,13928,615
2020/05/09 22:32:32+00,92,,Azerbaijan,40.1431,47.5769,2422,1620,31
2020/05/09 22:32:32+00,93,,Bahamas,25.025885,-78.035889,92,31,11
2020/05/09 22:32:32+00,94,,Bahrain,26.0275,50.55,4774,2055,8
2020/05/09 22:32:32+00,95,,Bangladesh,23.685,90.3563,13770,2414,214
2020/05/09 22:32:32+00,96,,Barbados,13.1939,-59.5432,83,53,7
2020/05/09 22:32:32+00,97,,Belarus,53.7098,27.9534,22052,6050,126
2020/05/09 22:32:32+00,98,,Belgium,50.8333,4.469936,52596,13411,8581
2020/05/09 22:32:32+00,99,,Belize,17.1899,-88.4976,18,16,2
2020/05/09 22:32:32+00,100,,Benin,9.3077,2.3158,284,62,2
2020/05/09 22:32:32+00,101,,Bhutan,27.5142,90.4336,7,5,0
2020/05/09 22:32:32+00,102,,Bolivia,-16.2902,-63.5887,2266,237,106
2020/05/09 22:32:32+00,103,,Bosnia and Herzegovina,43.9159,17.6791,2090,1059,102
2020/05/09 22:32:32+00,104,,Botswana,-22.3285,24.6849,23,12,1
2020/05/09 22:32:32+00,105,,Brazil,-14.235,-51.9253,155939,59297,10627
2020/05/09 22:32:32+00,106,,Brunei,4.5353,114.7277,141,132,1
2020/05/09 22:32:32+00,107,,Bulgaria,42.7339,25.4858,1921,422,90
2020/05/09 22:32:32+00,108,,Burkina Faso,12.2383,-1.5616,748,569,48
2020/05/09 22:32:32+00,109,,Burma,21.9162,95.956,178,68,6
2020/05/09 22:32:32+00,110,,Burundi,-3.3731,29.9189,15,7,1
2020/05/09 22:32:32+00,111,,Cabo Verde,16.5388,-23.0418,236,56,2
2020/05/09 22:32:32+00,112,,Cambodia,11.55,104.9167,122,120,0
2020/05/09 22:32:32+00,113,,Cameroon,3.848,11.5021,2274,1232,108
2020/05/09 22:32:32+00,114,,Central African Republic,6.6111,20.9394,143,10,0
2020/05/09 22:32:32+00,115,,Chad,15.4542,18.7322,322,53,31
2020/05/09 22:32:32+00,116,,Chile,-35.6751,-71.543,27219,12667,304
2020/05/09 22:32:32+00,117,,Colombia,4.5709,-74.2973,10495,2569,445
2020/05/09 22:32:32+00,118,,Comoros,-11.6455,43.3333,11,0,1
2020/05/09 22:32:32+00,119,,Congo (Brazzaville),-4.2634,15.2832,274,33,10
2020/05/09 22:32:32+00,120,,Congo (Kinshasa),-4.322447,15.307045,937,130,39
2020/05/09 22:32:32+00,121,,Costa Rica,9.7489,-83.7534,780,480,6
2020/05/09 22:32:32+00,122,,Cote d'Ivoire,7.54,-5.5471,1667,769,21
2020/05/09 22:32:32+00,123,,Croatia,45.1,15.2,2176,1726,87
2020/05/09 22:32:32+00,124,,Cuba,21.521757,-77.781167,1754,1140,74
2020/05/09 22:32:32+00,125,,Cyprus,35.1264,33.4299,892,401,15
2020/05/09 22:32:32+00,126,,Czechia,49.8175,15.473,8089,4446,276
2020/05/09 22:32:32+00,127,,Denmark,56.2639,9.5018,10319,8093,526
2020/05/09 22:32:32+00,128,,Diamond Princess,,,712,645,13
2020/05/09 22:32:32+00,129,,Djibouti,11.8251,42.5903,1189,834,3
2020/05/09 22:32:32+00,130,,Dominica,15.415,-61.371,16,14,0
2020/05/09 22:32:32+00,131,,Dominican Republic,18.7357,-70.1627,9882,2584,385
2020/05/09 22:32:32+00,132,,Ecuador,-1.8312,-78.1834,29071,3433,1717
2020/05/09 22:32:32+00,133,,Egypt,26.820553,30.802498,8964,2002,514
2020/05/09 22:32:32+00,134,,El Salvador,13.7942,-88.8965,784,276,17
2020/05/09 22:32:32+00,135,,Equatorial Guinea,1.6508,10.2679,439,13,4
2020/05/09 22:32:32+00,136,,Eritrea,15.1794,39.7823,39,37,0
2020/05/09 22:32:32+00,137,,Estonia,58.5953,25.0136,1733,747,60
2020/05/09 22:32:32+00,138,,Eswatini,-26.5225,31.4659,163,14,2
2020/05/09 22:32:32+00,139,,Ethiopia,9.145,40.4897,210,97,5
2020/05/09 22:32:32+00,140,,Fiji,-17.7134,178.065,18,14,0
2020/05/09 22:32:32+00,141,,Finland,61.92411,25.748151,5880,4000,265
2020/05/09 22:32:32+00,142,,France,46.2276,2.2137,174758,54886,26271
2020/05/09 22:32:32+00,143,,Gabon,-0.8037,11.6094,661,110,8
2020/05/09 22:32:32+00,144,,Gambia,13.4432,-15.3101,20,9,1
2020/05/09 22:32:32+00,145,,Georgia,42.3154,43.3569,626,297,10
2020/05/09 22:32:32+00,146,,Germany,51.165691,10.451526,171324,143300,7549
2020/05/09 22:32:32+00,147,,Ghana,7.9465,-1.0232,4263,378,22
2020/05/09 22:32:32+00,148,,Greece,39.0742,21.8243,2710,1374,151
2020/05/09 22:32:32+00,149,,Grenada,12.1165,-61.679,21,13,0
2020/05/09 22:32:32+00,150,,Guatemala,15.7835,-90.2308,900,101,24
2020/05/09 22:32:32+00,151,,Guinea,9.9456,-9.6966,2042,698,11
2020/05/09 22:32:32+00,152,,Guinea-Bissau,11.8037,-15.1804,641,25,3
2020/05/09 22:32:32+00,153,,Guyana,4.860416,-58.93018,94,35,10
2020/05/09 22:32:32+00,154,,Haiti,18.9712,-72.2852,151,17,12
2020/05/09 22:32:32+00,155,,Holy See,41.9029,12.4534,12,2,0
2020/05/09 22:32:32+00,156,,Honduras,15.2,-86.2419,1771,192,107
2020/05/09 22:32:32+00,157,,Hungary,47.1625,19.5033,3213,904,405
2020/05/09 22:32:32+00,158,,Iceland,64.9631,-19.0208,1801,1773,10
2020/05/09 22:32:32+00,159,,India,20.593684,78.96288,62808,19301,2101
