Last_Update,OBJECTID,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered
2020/05/09 22:32:32+00,1,Australia,-25,133,6929,97,6134
2020/05/09 22:32:32+00,2,Austria,47.5162,14.5501,15833,615,13928
2020/05/09 22:32:32+00,3,Canada,60.001,-95.001,68918,4823,31262
2020/05/09 22:32:32+00,4,China,30.5928,114.3055,83976,4637,79056
2020/05/09 22:32:32+00,5,Denmark,56,10,10517,526,8291
2020/05/09 22:32:32+00,6,Finland,61.9241,25.7482,5880,265,4000
2020/05/09 22:32:32+00,7,France,46.2276,2.2137,176782,26313,56148
2020/05/09 22:32:32+00,8,Germany,51.1657,10.4515,171324,7549,143300
2020/05/09 22:32:32+00,9,Iceland,64.9631,-19.0208,1801,10,1773
2020/05/09 22:32:32+00,10,Ireland,53.1424,-7.6921,22760,1446,17110
2020/05/09 22:32:32+00,11,Italy,41.8719,12.5674,218268,30395,103031
2020/05/09 22:32:32+00,12,Netherlands,52.3167,5.55,42581,5440,147
2020/05/09 22:32:32+00,13,Norway,60.472,8.4689,8084,219,32
2020/05/09 22:32:32+00,14,Russia,61.524,105.3188,198676,1827,31916
2020/05/09 22:32:32+00,15,Sweden,60.1282,18.6435,25921,3220,4971
2020/05/09 22:32:32+00,16,Switzerland,46.8182,8.2275,30251,1830,26100
2020/05/09 22:32:32+00,17,United Kingdom,55,-3,216525,31662,1001
2020/05/09 22:32:32+00,18,US,40,-100,1307676,78693,212534
2020/05/09 22:32:32+00,19,Afghanistan,33.93911,67.709953,4033,115,502
2020/05/09 22:32:32+00,20,Albania,41.1533,20.1683,856,31,627
2020/05/09 22:32:32+00,21,Algeria,28.0339,1.6596,5558,494,2546
2020/05/09 22:32:32+00,22,Andorra,42.5063,1.5218,754,48,545
2020/05/09 22:32:32+00,23,Angola,-11.2027,17.8739,43,2,13
2020/05/09 22:32:32+00,24,Antigua and Barbuda,17.0608,-61.7964,25,3,19
2020/05/09 22:32:32+00,25,Argentina,-38.4161,-63.6167,5611,293,1728
2020/05/09 22:32:32+00,26,Armenia,40.0691,45.0382,3175,44,1267
2020/05/09 22:32:32+00,27,Azerbaijan,40.1431,47.5769,2422,31,1620
2020/05/09 22:32:32+00,28,Bahamas,25.025885,-78.035889,92,11,31
2020/05/09 22:32:32+00,29,Bahrain,26.0275,50.55,4774,8,2055
2020/05/09 22:32:32+00,30,Bangladesh,23.685,90.3563,13770,214,2414
2020/05/09 22:32:32+00,31,Barbados,13.1939,-59.5432,83,7,53
2020/05/09 22:32:32+00,32,Belarus,53.7098,27.9534,22052,126,6050
